r1,r2,r3,r4,r5,r6,r7,shape
8.01,13.850000000000001,16.939999999999998,18.29,16.04,6.460000000000001,20.41,Triangle
8.35,14.399999999999999,16.71,17.48,16.43,6.140000000000001,20.49,Diamond
8.36,14.719999999999999,17.06,17.61,15.32,6.529999999999999,20.4,Square
8.17,14.000000000000002,16.12,17.169999999999998,15.47,8.49,20.580000000000002,Square
8.48,14.91,17.150000000000002,18.23,14.75,7.000000000000001,19.5,Square
8.16,14.26,16.98,17.919999999999998,15.64,6.74,20.29,Oval
8.16,14.530000000000001,17.119999999999997,18.11,15.22,6.859999999999999,20.0,Square
8.21,14.499999999999998,16.96,17.59,15.39,7.7299999999999995,19.62,Round
8.73,15.2,17.25,17.9,15.25,6.419999999999999,19.25,Round
8.17,14.030000000000001,16.64,17.37,15.68,7.8,20.32,Oval
8.36,14.44,16.73,17.59,16.619999999999997,6.05,20.200000000000003,Oblong
8.37,14.540000000000001,16.939999999999998,17.88,15.52,6.98,19.77,Round
8.59,14.52,16.54,17.18,15.049999999999999,7.969999999999999,20.16,Square
7.9,14.06,16.73,17.549999999999997,15.620000000000001,7.59,20.549999999999997,Pear
8.540000000000001,14.48,16.64,17.549999999999997,15.73,6.83,20.22,Round
8.33,14.360000000000001,16.96,17.69,15.68,7.04,19.950000000000003,Oblong
8.290000000000001,14.16,16.38,17.48,16.25,6.76,20.68,Diamond
8.3,14.13,16.54,17.66,16.919999999999998,5.7700000000000005,20.68,Round
8.12,14.44,17.25,18.15,14.93,7.37,19.74,Square
8.290000000000001,14.540000000000001,16.96,17.7,15.67,6.78,20.06,Square
8.540000000000001,14.67,16.97,17.52,15.409999999999998,7.08,19.82,Square
8.23,14.34,16.78,18.0,15.02,7.720000000000001,19.91,Square
8.459999999999999,14.799999999999999,17.29,18.04,14.680000000000001,7.3999999999999995,19.33,Round
8.1,13.87,16.41,17.23,15.809999999999999,7.79,20.79,Oval
7.470000000000001,13.69,16.74,17.44,15.909999999999998,7.71,21.04,Triangle
8.3,14.099999999999998,16.689999999999998,17.59,16.73,5.8999999999999995,20.68,Square
7.88,13.87,16.3,17.29,14.729999999999999,9.49,20.43,Diamond
7.99,14.12,16.72,17.65,15.620000000000001,7.22,20.669999999999998,Pear
8.17,13.84,16.48,17.69,16.12,6.58,21.13,Square
8.06,14.05,16.91,18.099999999999998,15.64,7.470000000000001,19.759999999999998,Oblong
8.66,15.290000000000001,17.41,17.990000000000002,15.45,5.88,19.32,Square
8.49,14.57,16.869999999999997,17.71,15.24,7.39,19.73,Oblong
8.82,15.1,17.28,18.0,15.35,5.84,19.6,Square
8.129999999999999,14.04,16.84,17.52,16.150000000000002,6.569999999999999,20.75,Oblong
8.52,14.66,16.74,17.44,16.16,6.22,20.26,Square
8.01,14.12,16.619999999999997,17.41,16.45,6.75,20.65,Oval
8.15,14.56,17.31,18.32,15.57,6.12,19.96,Square
8.42,14.680000000000001,17.080000000000002,18.16,14.49,7.76,19.41,Round
8.06,14.02,16.619999999999997,17.54,15.52,7.870000000000001,20.380000000000003,Oblong
7.75,13.99,16.900000000000002,17.75,15.840000000000002,7.37,20.41,Round
8.02,14.19,16.63,17.43,15.909999999999998,7.449999999999999,20.380000000000003,Round
8.03,13.77,16.28,17.22,16.23,7.51,20.95,Square
7.9799999999999995,13.819999999999999,16.54,17.41,15.03,9.02,20.19,Round
8.28,14.860000000000001,17.45,18.45,14.66,6.5600000000000005,19.74,Square
8.34,14.89,17.27,18.07,15.010000000000002,7.03,19.39,Oval
7.720000000000001,13.309999999999999,16.05,17.06,15.190000000000001,9.719999999999999,20.96,Oblong
8.27,14.549999999999999,16.830000000000002,17.78,14.41,8.23,19.93,Square
8.19,14.39,17.2,18.13,15.840000000000002,6.15,20.1,Oblong
8.0,13.54,15.870000000000001,17.16,15.64,8.18,21.62,Triangle
8.32,14.000000000000002,16.32,16.939999999999998,17.080000000000002,6.5,20.84,Oval
8.3,14.680000000000001,17.02,17.97,14.42,8.02,19.59,Round
8.05,13.73,16.35,16.98,16.63,7.16,21.11,Oblong
7.960000000000001,13.669999999999998,16.189999999999998,17.28,16.29,8.01,20.59,Oval
8.49,14.940000000000001,17.380000000000003,18.16,15.49,6.21,19.32,Round
7.829999999999999,13.71,16.28,17.41,15.310000000000002,8.67,20.8,Square
8.35,14.540000000000001,16.81,17.64,15.98,6.76,19.919999999999998,Oval
7.64,13.350000000000001,16.189999999999998,17.330000000000002,15.98,8.37,21.14,Square
8.48,14.64,17.06,18.19,15.86,5.75,20.01,Oval
8.34,14.52,16.79,17.919999999999998,15.65,6.77,20.0,Square
7.93,13.87,16.619999999999997,17.630000000000003,16.84,6.05,21.05,Oval
8.0,13.96,16.55,17.97,14.91,8.290000000000001,20.32,Triangle
8.469999999999999,14.330000000000002,16.66,17.59,16.5,5.949999999999999,20.5,Oblong
7.95,13.919999999999998,16.34,16.950000000000003,15.97,7.85,21.02,Pear
8.12,14.16,17.06,18.33,15.45,7.06,19.830000000000002,Triangle
8.25,14.89,17.330000000000002,17.94,15.790000000000001,5.93,19.88,Square
8.15,14.01,16.53,17.34,16.38,6.87,20.71,Triangle
7.9799999999999995,14.099999999999998,16.830000000000002,17.82,15.740000000000002,7.380000000000001,20.150000000000002,Oblong
8.57,14.829999999999998,17.130000000000003,17.79,14.95,7.08,19.650000000000002,Oval
7.9,13.719999999999999,16.36,17.34,16.35,7.430000000000001,20.9,Triangle
7.71,13.63,16.72,17.75,16.3,6.890000000000001,21.01,Triangle
8.129999999999999,14.41,16.68,17.5,15.27,7.9,20.1,Round
